0,248,0,11,6,7,19,16,1,3,9,Sat Oct 15 14:22:29 2022

0,118,1,8,14,0,1,15,5,4,12,Sat Oct 15 14:22:30 2022

0,292,0,3,18,6,13,16,0,7,15,Sat Oct 15 14:22:30 2022

0,266,0,4,18,3,13,11,15,0,6,Sat Oct 15 14:22:31 2022

0,247,1,11,5,19,18,16,3,15,14,Sat Oct 15 14:22:31 2022

0,177,0,18,19,10,3,1,16,15,2,Sat Oct 15 14:22:32 2022

0,73,0,18,6,9,17,3,13,10,14,Sat Oct 15 14:22:32 2022

0,114,1,3,1,18,5,11,19,13,9,Sat Oct 15 14:22:33 2022

0,145,0,3,4,18,15,17,16,6,13,Sat Oct 15 14:22:33 2022

0,299,0,4,12,9,10,16,2,1,7,Sat Oct 15 14:22:34 2022

0,73,1,5,3,1,15,4,11,2,7,Sat Oct 15 14:22:34 2022

0,248,0,11,6,7,19,16,1,3,9,Sat Oct 15 14:22:29 2022

0,118,1,8,14,0,1,15,5,4,12,Sat Oct 15 14:22:30 2022

0,292,0,3,18,6,13,16,0,7,15,Sat Oct 15 14:22:30 2022

0,266,0,4,18,3,13,11,15,0,6,Sat Oct 15 14:22:31 2022

0,247,1,11,5,19,18,16,3,15,14,Sat Oct 15 14:22:31 2022

0,177,0,18,19,10,3,1,16,15,2,Sat Oct 15 14:22:32 2022

0,73,0,18,6,9,17,3,13,10,14,Sat Oct 15 14:22:32 2022

0,114,1,3,1,18,5,11,19,13,9,Sat Oct 15 14:22:33 2022

0,145,0,3,4,18,15,17,16,6,13,Sat Oct 15 14:22:33 2022

0,299,0,4,12,9,10,16,2,1,7,Sat Oct 15 14:22:34 2022

0,73,1,5,3,1,15,4,11,2,7,Sat Oct 15 14:22:34 2022

0,199,1,8,18,5,7,11,2,10,1,Wed Oct 19 19:12:48 2022
0,161,0,0,9,18,10,1,15,16,19,Wed Oct 19 19:12:49 2022
0,245,1,1,19,12,4,6,13,5,10,Wed Oct 19 19:12:49 2022
